,ID,question_id,expected_output,actual_output,output_ok_or_not,expected_ans,actual_ans,ans_ok_or_not
19,358,Q1,"### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.","### Q1:
1

### Q1_just:
This systematic review and meta-analysis was conducted
according to established guidelines.20,21",False,0,1,False
20,359,Q1,"### Q1:
1

### Q1_just:
The PRISMA checklist and flow diagram [21] are available as supporting information","### Q1:
1

### Q1_just:
The PRISMA checklist and flow diagram [21] are available as supporting information (Diagram S1, Checklist S1).",False,1,1,True
21,360,Q1,"### Q1:
1

### Q1_just:
This study was conducted in accordance with the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analysis)18 guidelines for systematic reviews and meta-analysis.","### Q1:
1

### Q1_just:
This study was conducted in accordance with the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analysis)18 guidelines for systematic reviews and meta-analysis.",True,1,1,True
22,361,Q1,"### Q1:
1

### Q1_just:
This systematic review complied with the Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines","### Q1:
1

### Q1_just:
This systematic review complied with the Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines",True,1,1,True
23,363,Q1,"### Q1:
1

### Q1_just:
This systematic review was completed in line with PRISMA (preferred reporting items for systematic reviews and meta-analyses) guidelines.","### Q1:
1

### Q1_just:
This systematic review was completed in line with PRISMA (preferred reporting items for systematic reviews and meta-analyses) guidelines.",True,1,1,True
24,364,Q1,"### Q1:
1

### Q1_just:
The systematic review was performed according to the Cochrane Review and the preferred reporting items for systematic reviews and meta-analyses (PRISMA) guidelines.","### Q1:
1

### Q1_just:
The systematic review was performed according to the Cochrane Review and the preferred reporting items for systematic reviews and meta-analyses (PRISMA) guidelines.",True,1,1,True
25,365,Q1,"### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.","### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.",True,0,0,True
26,367,Q1,"### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.","### Q1:
1

### Q1_just:
The search protocol is summarised in the PRISMA (Preferred Reporting for Systematic Reviews and Meta-Analyses) ï¬‚ow diagram",False,0,1,False
27,368,Q1,"### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.","### Q1:
1

### Q1_just:
The study is reported following the guidelines of the Quality
of Reporting of Meta-analyses.20",False,0,1,False
28,370,Q1,"### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.","### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.",True,0,0,True
29,371,Q1,"### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.","### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.",True,0,0,True
30,372,Q1,"### Q1:
1

### Q1_just:
The methods and outcomes were reported according to PRISMA recommendations","### Q1:
1

### Q1_just:
The methods and outcomes were reported according to PRISMA recommendations",True,1,1,True
31,373,Q1,"### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.","### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.",True,0,0,True
32,374,Q1,"### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.","### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.",True,0,0,True
33,375,Q1,"### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.","### Q1:
1

### Q1_just:
These articles were assessed using PRISMA reporting guidelines. Details of the study selection process are illustrated in Figure 1 and are presented in Tables 1-4.",False,0,1,False
34,376,Q1,"### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.","### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.",True,0,0,True
35,377,Q1,"### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.","### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.",True,0,0,True
36,378,Q1,"### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.","### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.",True,0,0,True
37,381,Q1,"### Q1:
1

### Q1_just:
Step-by-step comprehensive literature searching, screening, and reviewing were in accordance with Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA).","### Q1:
1

### Q1_just:
Step-by-step comprehensive literature searching, screening, and reviewing were in accordance with Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA).",True,1,1,True
38,382,Q1,"### Q1:
1

### Q1_just:
This work was performed in accordance with the guidance specified in the Cochrane Handbook and the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) statement for reporting of systematic reviews.","### Q1:
1

### Q1_just:
This work was performed in accordance with the guidance specified in the Cochrane Handbook and the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) statement for reporting of systematic reviews.",True,1,1,True
39,383,Q1,"### Q1:
1

### Q1_just:
The preferred reporting items for systematic reviews and meta-analyses (PRISMA) guideline [20] was followed.","### Q1:
1

### Q1_just:
The preferred reporting items for systematic reviews and meta-analyses (PRISMA) guideline [20] was followed.",True,1,1,True
40,385,Q1,"### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.","### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.",True,0,0,True
41,387,Q1,"### Q1:
1

### Q1_just:
The study was conducted in compliance with the Observational Studies in Epidemiology (MOOSE) group","### Q1:
1

### Q1_just:
The study was conducted in compliance with the Observational Studies in Epidemiology (MOOSE) group",True,1,1,True
42,388,Q1,"### Q1:
1

### Q1_just:
A systematic reviewof theMEDLINE databasewas conducted using PubMed, Ovid SP, and Google Scholar search engines.  Methodologic framework followed PRISMA guidelines.","### Q1:
1

### Q1_just:
Methodologic framework followed PRISMA guidelines.29 Search parameters included full text articles published between 1974 and February 2015 using key words â€œpelvic congestion syndrome,â€ â€œpelvic congestion,â€ â€œpelvic varices,â€ and â€œovarian vein embolotherapy.â€ Articles were manually reviewed for treatment of PCS, rendering 25 studies. Applicable PRISMA guidelines were followed in data collection, analysis, and reporting.",False,1,1,True
43,389,Q1,"### Q1:
1

### Q1_just:
This systematic review and meta-analysis followed the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) guidelines","### Q1:
1

### Q1_just:
This systematic review and meta-analysis followed the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) guidelines",True,1,1,True
44,392,Q1,"### Q1:
1

### Q1_just:
The systematic review was performed according to the Preferred Reporting Items for Systematic Reviews and Meta-Analysis (PRISMA) guidelines","### Q1:
1

### Q1_just:
The systematic review was performed according to the Preferred Reporting Items for Systematic Reviews and Meta-Analysis (PRISMA) guidelines (9).",False,1,1,True
45,393,Q1,"### Q1:
1

### Q1_just:
A systematic review in accordance with the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) statement for reporting systematic reviews was performed","### Q1:
1

### Q1_just:
A systematic review in accordance with the Preferred
Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) statement
for reporting systematic reviews was performed",False,1,1,True
46,394,Q1,"### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.","### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.",True,0,0,True
47,395,Q1,"### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.","### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.",True,0,0,True
48,396,Q1,"### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.","### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.",True,0,0,True
49,397,Q1,"### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.","### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.",True,0,0,True
50,398,Q1,"### Q1:
1

### Q1_just:
A literature search was performed following PRISMA guidelines","### Q1:
1

### Q1_just:
A literature search was performed following PRISMA guidelines",True,1,1,True
51,399,Q1,"### Q1:
1

### Q1_just:
It was conducted in accordance with current guidelines on systematic literature reviews and it complied with the Preferred Reporting Items for Systematic reviews and Meta-Analyses (PRISMA) statement.","### Q1:
1

### Q1_just:
It was conducted in accordance with current guidelines on systematic literature reviews and it complied with the Preferred Reporting Items for Systematic reviews and Meta-Analyses (PRISMA) statement.",True,1,1,True
52,400,Q1,"### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.","### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.",True,0,0,True
53,401,Q1,"### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.","### Q1:
1

### Q1_just:
The selection process was recorded in appropriate detail, as set out in the complete PRISMA flow diagram",False,0,1,False
54,402,Q1,"### Q1:
1

### Q1_just:
Verification of the review items was performed according to
the PRISMA 2009 checklist.","### Q1:
1

### Q1_just:
Verification of the review items was performed according to the PRISMA 2009 checklist.",False,1,1,True
55,403,Q1,"### Q1:
1

### Q1_just:
The systematic review and meta-analysis was
performed in accordance with current preferred reporting items for systematic
reviews and meta-analyses (PRISMA) guidelines","### Q1:
1

### Q1_just:
The systematic review and meta-analysis was performed in accordance with current preferred reporting items for systematic reviews and meta-analyses (PRISMA) guidelines",False,1,1,True
56,404,Q1,"### Q1:
1

### Q1_just:
Performance,
reporting, and analysis of this systematic review and meta-analysis has been
done in accordance with PRISMA (Preferred Reporting Items for Systematic
Reviews and Meta-Analyses) guidelines.","### Q1:
1

### Q1_just:
Performance, reporting, and analysis of this systematic review and meta-analysis has been done in accordance with PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) guidelines.",False,1,1,True
57,405,Q1,"### Q1:
1

### Q1_just:
A systematic review of journal articles reporting indications for PK was
performed according to the Preferred Reporting Items for Systematic Reviews and
Meta-Analyses statement.","### Q1:
1

### Q1_just:
A systematic review of journal articles reporting indications for PK was performed according to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses statement.",False,1,1,True
58,406,Q1,"### Q1:
1

### Q1_just:
This meta-analysis is being reported according
to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses
statement","### Q1:
1

### Q1_just:
This meta-analysis is being reported according to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses statement [7].",False,1,1,True
59,407,Q1,"### Q1:
1

### Q1_just:
This meta-analysis was performed in accordance with
the Preferred Reporting Items for Systematic Reviews and Meta-analyses (PRISMA)
statement","### Q1:
1

### Q1_just:
This meta-analysis was performed in accordance with the Preferred Reporting Items for Systematic Reviews and Meta-analyses (PRISMA) statement",False,1,1,True
60,408,Q1,"### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.","### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.",True,0,0,True
61,409,Q1,"### Q1:
1

### Q1_just:
Our review was conducted in accordance with the
guidelines outlined by the Preferred Reporting Items for Systematic Reviews and
Meta-Analyses (PRISMA) statement","### Q1:
1

### Q1_just:
Our review was conducted in accordance with the guidelines outlined by the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) statement",False,1,1,True
62,410,Q1,"### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.","### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.",True,0,0,True
63,411,Q1,"### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.","### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.",True,0,0,True
64,412,Q1,"### Q1:
1

### Q1_just:
The meta-analysis was performed following PRISMA guidelines","### Q1:
1

### Q1_just:
The metaâ€analysis was performed following PRISMA guidelines12.",False,1,1,True
65,413,Q1,"### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.","### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.",True,0,0,True
66,414,Q1,"### Q1:
1

### Q1_just:
The evaluation of methodological quality was
performed using the PRISMA statement criteria to verify the strength of the
scientific evidence available in the current literature for clinical
decision-making.","### Q1:
1

### Q1_just:
The evaluation of methodological quality was performed using the PRISMA statement criteria to verify the strength of the scientific evidence available in the current literature for clinical decision-making",False,1,1,True
67,415,Q1,"### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.","### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.",True,0,0,True
68,416,Q1,"### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.","### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.",True,0,0,True
69,417,Q1,"### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.","### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.",True,0,0,True
70,418,Q1,"### Q1:
1

### Q1_just:
Reporting in line with PRISMA guidelines
(www.prisma-statement.org) and through consultation with subject specific and
systematic review experts the literature review methodology was developed.","### Q1:
1

### Q1_just:
Reporting in line with PRISMA guidelines (www.prisma-statement.org)",False,1,1,True
71,419,Q1,"### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.","### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.",True,0,0,True
72,420,Q1,"### Q1:
1

### Q1_just:
Data sources and searches
An investigator (IYK) and an information
specialist from the University Health Network library services independently
performed the literature search. Studies were identified using Ovid MEDLINE
(1986â€“2012), EMBASE (inception to January 2012) Cochrane Central Registry of
Controlled Trials (inception to 2012) and CINAHL (inception to 2012). The
following keywords, alone or in combination, with mapping of term to subject
heading were used in the database search: â€œsclerodermaâ€, â€œsystemic sclerosisâ€,
â€œlung transplantationâ€, â€œpulmonary fibrosisâ€, and â€œpulmonary hypertensionâ€. No
language, publication date or publication status restrictions were imposed. The
results of the 2 independent searches were compared to ensure completeness.
Study selection
Titles and abstracts were screened to identify
studies reporting survival post-lung transplantation in SSc patients. Studies
were included if they reported 1) human SSc patients (classified as SSc using
the American College of Rheumatology classification criteria [19], or
physician-based diagnosis), 2) lung transplantation (single lung, double lung
or heart lung transplantation), and 3) reported survival as an outcome. The
primary outcome for this study was death from all causes. Studies were
ineligible if they included 1) only individuals aged","### Q1:
1

### Q1_just:
Reporting of this study is compliant with the PRISMA statement",False,1,1,True
73,421,Q1,"### Q1:
1

### Q1_just:
This study-level meta-analysis was presented in
a manner adherent to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses
(PRISMA) guidelines.15 The checklist outlined by the Meta-analysis Of
Observational Studies in Epidemiology (MOOSE) consortium was also applied.","### Q1:
1

### Q1_just:
This study-level meta-analysis was presented in a manner adherent to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines.",False,1,1,True
74,422,Q1,"### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.","### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.",True,0,0,True
75,423,Q1,"### Q1:
1

### Q1_just:
The Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) were followed. All PRISMA-compliant searches were conducted on peer-reviewed literature with dates of inception prior to April 4, 2019 using the following databases","### Q1:
1

### Q1_just:
The Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) were followed.",False,1,1,True
76,424,Q1,"### Q1:
1

### Q1_just:
Searches were reported according to Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines.","### Q1:
1

### Q1_just:
Searches were reported according to Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines.",True,1,1,True
77,425,Q1,"### Q1:
1

### Q1_just:
This study was reported using the statements of Preferred Reporting Items for Systematic Reviews and Metaâ€Analyses (PRISMA).","### Q1:
1

### Q1_just:
This study was reported using the statements of Preferred
Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA).",False,1,1,True
78,426,Q1,"### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.","### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.",True,0,0,True
79,427,Q1,"### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.","### Q1:
0

### Q1_just:
There is no information on this item in the methodology provided.",True,0,0,True
80,338,Q2,"### Q2:
1

### Q2_just:
We conducted a systematic literature search with a predetermined protocol that was in accordance with the Meta-Analysis of Observational Studies in Epidemiology (MOOSE)","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",False,1,0,False
81,339,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
82,340,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
83,341,Q2,"### Q2:
1

### Q2_just:
The review was published in PROSPERO (International Prospective register of systematic reviews) with the registration number CRD42016051662.","### Q2:
1

### Q2_just:
The review was published in PROSPERO (International Prospective register of systematic reviews) with the registration number CRD42016051662.",True,1,1,True
84,343,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
85,344,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
86,345,Q2,"### Q2:
0

### Q2_just:
Methods of the analysis and inclusion criteria were specified in advance but not documented in a protocol.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",False,0,0,True
87,346,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
88,347,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
89,348,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
90,349,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
91,350,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
92,351,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
93,352,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
94,353,Q2,"### Q2:
1

### Q2_just:
This review was registered in the PROSPERO
database (International Prospective Register of Systematic Reviews) under the
number CRD42016038507.","### Q2:
1

### Q2_just:
This review was registered in the PROSPERO database (International
Prospective Register of Systematic Reviews) under the number CRD42016038507.",False,1,1,True
95,354,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
96,355,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
97,356,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
98,357,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
99,358,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
100,359,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
101,360,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
102,361,Q2,"### Q2:
1

### Q2_just:
The protocol was prospectively registered in the International
Prospective Register of Systematic Reviews (registration number:  CRD42018096969). No ethics committee approval
or informed consent was required since this was a retrospective analysis of
previously published studies.","### Q2:
1

### Q2_just:
The protocol was prospectively registered in the International Prospective Register of Systematic Reviews (registration number:  CRD42018096969).",False,1,1,True
103,363,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
104,364,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
1

### Q2_just:
The systematic review was performed according to the
Cochrane Review and the preferred reporting items for systematic reviews and
meta-analyses (PRISMA) guidelines.",False,0,1,False
105,365,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
106,367,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
107,368,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
108,370,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
109,371,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
110,372,Q2,"### Q2:
1

### Q2_just:
The methods and outcomes were
reported according to PRISMA recommendations (18). The study protocol was
registered with PROSPERO Trial Registration (#CRD42015017383).","### Q2:
1

### Q2_just:
The study protocol was registered with PROSPERO Trial Registration (#CRD42015017383).",False,1,1,True
111,373,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
112,374,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
113,375,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
114,376,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
115,377,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
116,378,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
117,381,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
118,382,Q2,"### Q2:
1

### Q2_just:
This work was performed in accordance with the guidance specified in the Cochrane Handbook and the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) statement for reporting of systematic reviews.16,17 The study protocol was submitted on the PROSPERO international prospective register of systematic reviews.","### Q2:
1

### Q2_just:
The study protocol was submitted on the PROSPERO international prospective register of systematic reviews.",False,1,1,True
119,383,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
120,385,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
121,387,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
122,388,Q2,"### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.","### Q2:
0

### Q2_just:
There is no information on this item in the methodology provided.",True,0,0,True
